# schedule_id	doctor_id	work_date	time_slot	max_appt	max_onsite	status
SCH2026050706111100	A0006	2026-05-07	上午(08:00-12:00	20	10	正常
SCH2026050614000000	A0005	2026-05-06	下午(14:00-18:0	12	5	正常
SCH2026050708000000	A0005	2026-05-07	上午(08:00-12:0	22	8	正常
SCH2026050714000000	A0005	2026-05-07	下午(14:00-18:0	12	7	正常
SCH2026050808000000	A0005	2026-05-08	上午(08:00-12:0	23	10	正常
SCH2026050814000000	A0005	2026-05-08	下午(14:00-18:0	14	5	正常
SCH2026050908000000	A0005	2026-05-09	上午(08:00-12:0	17	6	正常
SCH2026050914000000	A0005	2026-05-09	下午(14:00-18:0	12	5	正常
SCH2026051008000000	A0005	2026-05-10	上午(08:00-12:0	14	8	正常
SCH2026051014000000	A0005	2026-05-10	下午(14:00-18:0	10	8	正常
SCH2026051108000000	A0005	2026-05-11	上午(08:00-12:0	24	10	正常
SCH2026051114000000	A0005	2026-05-11	下午(14:00-18:0	19	6	正常
SCH2026050508000000	B0001	2026-05-05	上午(08:00-12:0	21	8	正常
SCH2026050514000000	B0001	2026-05-05	下午(14:00-18:0	15	6	正常
SCH2026050608000000	B0001	2026-05-06	上午(08:00-12:0	14	5	正常
SCH2026050614000000	B0001	2026-05-06	下午(14:00-18:0	25	10	正常
SCH2026050708000000	B0001	2026-05-07	上午(08:00-12:0	22	8	正常
SCH2026050714000000	B0001	2026-05-07	下午(14:00-18:0	18	10	正常
SCH2026050808000000	B0001	2026-05-08	上午(08:00-12:0	13	7	正常
SCH2026050814000000	B0001	2026-05-08	下午(14:00-18:0	22	6	正常
SCH2026050908000000	B0001	2026-05-09	上午(08:00-12:0	14	6	正常
SCH2026050914000000	B0001	2026-05-09	下午(14:00-18:0	14	8	正常
SCH2026051008000000	B0001	2026-05-10	上午(08:00-12:0	12	9	正常
SCH2026051014000000	B0001	2026-05-10	下午(14:00-18:0	20	9	正常
SCH2026051108000000	B0001	2026-05-11	上午(08:00-12:0	14	9	正常
SCH2026051114000000	B0001	2026-05-11	下午(14:00-18:0	13	8	正常
SCH2026050508000000	B0002	2026-05-05	上午(08:00-12:0	14	8	正常
SCH2026050514000000	B0002	2026-05-05	下午(14:00-18:0	19	6	正常
SCH2026050608000000	B0002	2026-05-06	上午(08:00-12:0	20	6	正常
SCH2026050614000000	B0002	2026-05-06	下午(14:00-18:0	11	9	正常
SCH2026050708000000	B0002	2026-05-07	上午(08:00-12:0	16	6	正常
SCH2026050714000000	B0002	2026-05-07	下午(14:00-18:0	17	6	正常
SCH2026050808000000	B0002	2026-05-08	上午(08:00-12:0	22	5	正常
SCH2026050814000000	B0002	2026-05-08	下午(14:00-18:0	25	5	正常
SCH2026050908000000	B0002	2026-05-09	上午(08:00-12:0	15	9	正常
SCH2026050914000000	B0002	2026-05-09	下午(14:00-18:0	24	10	正常
SCH2026051008000000	B0002	2026-05-10	上午(08:00-12:0	21	6	正常
SCH2026051014000000	B0002	2026-05-10	下午(14:00-18:0	12	7	正常
SCH2026051108000000	B0002	2026-05-11	上午(08:00-12:0	22	6	正常
SCH2026051114000000	B0002	2026-05-11	下午(14:00-18:0	21	6	正常
SCH2026050508000000	B0003	2026-05-05	上午(08:00-12:0	13	6	正常
SCH2026050514000000	B0003	2026-05-05	下午(14:00-18:0	17	10	停诊
SCH2026050608000000	B0003	2026-05-06	上午(08:00-12:0	21	9	正常
SCH2026050614000000	B0003	2026-05-06	下午(14:00-18:0	22	10	正常
SCH2026050708000000	B0003	2026-05-07	上午(08:00-12:0	11	7	正常
SCH2026050714000000	B0003	2026-05-07	下午(14:00-18:0	20	5	正常
SCH2026050808000000	B0003	2026-05-08	上午(08:00-12:0	11	8	正常
SCH2026050814000000	B0003	2026-05-08	下午(14:00-18:0	14	9	正常
SCH2026050908000000	B0003	2026-05-09	上午(08:00-12:0	19	9	正常
SCH2026050914000000	B0003	2026-05-09	下午(14:00-18:0	13	5	正常
SCH2026051008000000	B0003	2026-05-10	上午(08:00-12:0	10	6	正常
SCH2026051014000000	B0003	2026-05-10	下午(14:00-18:0	15	7	正常
SCH2026051108000000	B0003	2026-05-11	上午(08:00-12:0	17	8	正常
SCH2026051114000000	B0003	2026-05-11	下午(14:00-18:0	24	6	正常
SCH2026050508000000	B0004	2026-05-05	上午(08:00-12:0	22	5	正常
SCH2026050514000000	B0004	2026-05-05	下午(14:00-18:0	16	7	正常
SCH2026050608000000	B0004	2026-05-06	上午(08:00-12:0	24	6	正常
SCH2026050614000000	B0004	2026-05-06	下午(14:00-18:0	24	9	正常
SCH2026050708000000	B0004	2026-05-07	上午(08:00-12:0	13	7	正常
SCH2026050714000000	B0004	2026-05-07	下午(14:00-18:0	11	9	停诊
SCH2026050808000000	B0004	2026-05-08	上午(08:00-12:0	21	8	正常
SCH2026050814000000	B0004	2026-05-08	下午(14:00-18:0	10	7	停诊
SCH2026050908000000	B0004	2026-05-09	上午(08:00-12:0	11	10	正常
SCH2026050914000000	B0004	2026-05-09	下午(14:00-18:0	13	7	正常
SCH2026051008000000	B0004	2026-05-10	上午(08:00-12:0	10	7	正常
SCH2026051014000000	B0004	2026-05-10	下午(14:00-18:0	20	8	正常
SCH2026051108000000	B0004	2026-05-11	上午(08:00-12:0	12	9	正常
SCH2026051114000000	B0004	2026-05-11	下午(14:00-18:0	20	8	正常
SCH2026050508000000	C0001	2026-05-05	上午(08:00-12:0	25	5	正常
SCH2026050514000000	C0001	2026-05-05	下午(14:00-18:0	16	5	正常
SCH2026050608000000	C0001	2026-05-06	上午(08:00-12:0	11	5	正常
SCH2026050614000000	C0001	2026-05-06	下午(14:00-18:0	22	5	正常
SCH2026050708000000	C0001	2026-05-07	上午(08:00-12:0	19	10	正常
SCH2026050714000000	C0001	2026-05-07	下午(14:00-18:0	19	10	正常
SCH2026050808000000	C0001	2026-05-08	上午(08:00-12:0	21	7	正常
SCH2026050814000000	C0001	2026-05-08	下午(14:00-18:0	10	8	正常
SCH2026050908000000	C0001	2026-05-09	上午(08:00-12:0	13	9	正常
SCH2026050914000000	C0001	2026-05-09	下午(14:00-18:0	12	7	正常
SCH2026051008000000	C0001	2026-05-10	上午(08:00-12:0	16	8	正常
SCH2026051014000000	C0001	2026-05-10	下午(14:00-18:0	24	6	正常
SCH2026051108000000	C0001	2026-05-11	上午(08:00-12:0	12	7	正常
SCH2026051114000000	C0001	2026-05-11	下午(14:00-18:0	14	6	正常
SCH2026050508000001	C0002	2026-05-05	上午(08:00-12:0	11	5	正常
SCH2026050514000001	C0002	2026-05-05	下午(14:00-18:0	25	9	正常
SCH2026050608000001	C0002	2026-05-06	上午(08:00-12:0	21	6	正常
SCH2026050614000001	C0002	2026-05-06	下午(14:00-18:0	19	6	正常
SCH2026050708000001	C0002	2026-05-07	上午(08:00-12:0	19	9	正常
SCH2026050714000001	C0002	2026-05-07	下午(14:00-18:0	13	5	正常
SCH2026050808000001	C0002	2026-05-08	上午(08:00-12:0	15	6	正常
SCH2026050814000001	C0002	2026-05-08	下午(14:00-18:0	20	8	正常
SCH2026050908000001	C0002	2026-05-09	上午(08:00-12:0	24	8	正常
SCH2026050914000001	C0002	2026-05-09	下午(14:00-18:0	18	6	正常
SCH2026051008000001	C0002	2026-05-10	上午(08:00-12:0	23	9	正常
SCH2026051014000001	C0002	2026-05-10	下午(14:00-18:0	14	8	正常
SCH2026051108000001	C0002	2026-05-11	上午(08:00-12:0	15	8	正常
SCH2026051114000001	C0002	2026-05-11	下午(14:00-18:0	22	8	停诊
SCH2026050508000001	C0003	2026-05-05	上午(08:00-12:0	11	6	正常
SCH2026050514000001	C0003	2026-05-05	下午(14:00-18:0	22	7	正常
SCH2026050608000001	C0003	2026-05-06	上午(08:00-12:0	11	6	正常
SCH2026050614000001	C0003	2026-05-06	下午(14:00-18:0	20	7	正常
SCH2026050708000001	C0003	2026-05-07	上午(08:00-12:0	11	8	正常
SCH2026050714000001	C0003	2026-05-07	下午(14:00-18:0	12	7	正常
SCH2026050808000001	C0003	2026-05-08	上午(08:00-12:0	18	9	正常
SCH2026050814000001	C0003	2026-05-08	下午(14:00-18:0	11	8	正常
SCH2026050908000001	C0003	2026-05-09	上午(08:00-12:0	16	6	正常
SCH2026050914000001	C0003	2026-05-09	下午(14:00-18:0	21	10	正常
SCH2026051008000001	C0003	2026-05-10	上午(08:00-12:0	21	5	正常
SCH2026051014000001	C0003	2026-05-10	下午(14:00-18:0	13	5	正常
SCH2026051108000001	C0003	2026-05-11	上午(08:00-12:0	21	7	正常
SCH2026051114000001	C0003	2026-05-11	下午(14:00-18:0	16	10	正常
SCH2026050508000001	C0004	2026-05-05	上午(08:00-12:0	11	8	正常
SCH2026050514000001	C0004	2026-05-05	下午(14:00-18:0	11	10	正常
SCH2026050608000001	C0004	2026-05-06	上午(08:00-12:0	16	10	正常
SCH2026050614000001	C0004	2026-05-06	下午(14:00-18:0	10	9	正常
SCH2026050708000001	C0004	2026-05-07	上午(08:00-12:0	24	6	正常
SCH2026050714000001	C0004	2026-05-07	下午(14:00-18:0	22	5	正常
SCH2026050808000001	C0004	2026-05-08	上午(08:00-12:0	23	9	正常
SCH2026050814000001	C0004	2026-05-08	下午(14:00-18:0	25	6	正常
SCH2026050908000001	C0004	2026-05-09	上午(08:00-12:0	22	8	正常
SCH2026050914000001	C0004	2026-05-09	下午(14:00-18:0	23	9	正常
SCH2026051008000001	C0004	2026-05-10	上午(08:00-12:0	22	8	正常
SCH2026051014000001	C0004	2026-05-10	下午(14:00-18:0	22	5	正常
SCH2026051108000001	C0004	2026-05-11	上午(08:00-12:0	15	5	正常
SCH2026051114000001	C0004	2026-05-11	下午(14:00-18:0	14	7	正常
SCH2026050508000001	C0005	2026-05-05	上午(08:00-12:0	17	7	正常
SCH2026050514000001	C0005	2026-05-05	下午(14:00-18:0	19	9	正常
SCH2026050608000001	C0005	2026-05-06	上午(08:00-12:0	14	10	正常
SCH2026050614000001	C0005	2026-05-06	下午(14:00-18:0	14	9	正常
SCH2026050708000001	C0005	2026-05-07	上午(08:00-12:0	19	10	正常
SCH2026050714000001	C0005	2026-05-07	下午(14:00-18:0	15	6	正常
SCH2026050808000001	C0005	2026-05-08	上午(08:00-12:0	25	9	正常
SCH2026050814000001	C0005	2026-05-08	下午(14:00-18:0	10	7	正常
SCH2026050908000001	C0005	2026-05-09	上午(08:00-12:0	15	6	正常
SCH2026050914000001	C0005	2026-05-09	下午(14:00-18:0	16	8	正常
SCH2026051008000001	C0005	2026-05-10	上午(08:00-12:0	25	8	正常
SCH2026051014000001	C0005	2026-05-10	下午(14:00-18:0	25	10	正常
SCH2026051108000001	C0005	2026-05-11	上午(08:00-12:0	14	5	正常
SCH2026051114000001	C0005	2026-05-11	下午(14:00-18:0	19	9	正常
SCH2026050508000001	C0006	2026-05-05	上午(08:00-12:0	14	6	正常
SCH2026050514000001	C0006	2026-05-05	下午(14:00-18:0	18	6	正常
SCH2026050608000001	C0006	2026-05-06	上午(08:00-12:0	21	7	正常
SCH2026050614000001	C0006	2026-05-06	下午(14:00-18:0	20	5	正常
SCH2026050708000001	C0006	2026-05-07	上午(08:00-12:0	18	6	正常
SCH2026050714000001	C0006	2026-05-07	下午(14:00-18:0	25	9	正常
SCH2026050808000001	C0006	2026-05-08	上午(08:00-12:0	13	9	正常
SCH2026050814000001	C0006	2026-05-08	下午(14:00-18:0	17	6	正常
SCH2026050908000001	C0006	2026-05-09	上午(08:00-12:0	11	5	正常
SCH2026050914000001	C0006	2026-05-09	下午(14:00-18:0	10	6	正常
SCH2026051008000001	C0006	2026-05-10	上午(08:00-12:0	12	8	正常
SCH2026051014000001	C0006	2026-05-10	下午(14:00-18:0	13	10	正常
SCH2026051108000001	C0006	2026-05-11	上午(08:00-12:0	18	5	正常
SCH2026051114000001	C0006	2026-05-11	下午(14:00-18:0	10	9	正常
SCH2026050508000001	D0001	2026-05-05	上午(08:00-12:0	24	10	正常
SCH2026050514000001	D0001	2026-05-05	下午(14:00-18:0	13	9	正常
SCH2026050608000001	D0001	2026-05-06	上午(08:00-12:0	11	6	正常
SCH2026050614000001	D0001	2026-05-06	下午(14:00-18:0	22	8	正常
SCH2026050708000001	D0001	2026-05-07	上午(08:00-12:0	17	10	正常
SCH2026050714000001	D0001	2026-05-07	下午(14:00-18:0	24	9	正常
SCH2026050808000001	D0001	2026-05-08	上午(08:00-12:0	20	9	正常
SCH2026050814000001	D0001	2026-05-08	下午(14:00-18:0	14	5	正常
SCH2026050908000001	D0001	2026-05-09	上午(08:00-12:0	18	9	正常
SCH2026050914000001	D0001	2026-05-09	下午(14:00-18:0	23	7	正常
SCH2026051008000001	D0001	2026-05-10	上午(08:00-12:0	12	7	正常
SCH2026051014000001	D0001	2026-05-10	下午(14:00-18:0	10	9	正常
SCH2026051108000001	D0001	2026-05-11	上午(08:00-12:0	23	8	正常
SCH2026051114000001	D0001	2026-05-11	下午(14:00-18:0	21	8	正常
SCH2026050508000001	D0002	2026-05-05	上午(08:00-12:0	18	6	正常
SCH2026050514000001	D0002	2026-05-05	下午(14:00-18:0	22	5	正常
SCH2026050608000001	D0002	2026-05-06	上午(08:00-12:0	10	6	正常
SCH2026050614000001	D0002	2026-05-06	下午(14:00-18:0	11	6	正常
SCH2026050708000001	D0002	2026-05-07	上午(08:00-12:0	12	10	正常
SCH2026050714000001	D0002	2026-05-07	下午(14:00-18:0	12	9	正常
SCH2026050808000001	D0002	2026-05-08	上午(08:00-12:0	23	5	正常
SCH2026050814000001	D0002	2026-05-08	下午(14:00-18:0	10	6	正常
SCH2026050908000001	D0002	2026-05-09	上午(08:00-12:0	21	5	正常
SCH2026050914000001	D0002	2026-05-09	下午(14:00-18:0	17	5	正常
SCH2026051008000001	D0002	2026-05-10	上午(08:00-12:0	25	7	正常
SCH2026051014000001	D0002	2026-05-10	下午(14:00-18:0	14	8	正常
SCH2026051108000001	D0002	2026-05-11	上午(08:00-12:0	23	10	正常
SCH2026051114000001	D0002	2026-05-11	下午(14:00-18:0	18	5	停诊
SCH2026050508000001	D0003	2026-05-05	上午(08:00-12:0	15	5	正常
SCH2026050514000001	D0003	2026-05-05	下午(14:00-18:0	12	10	正常
SCH2026050608000001	D0003	2026-05-06	上午(08:00-12:0	15	7	正常
SCH2026050614000001	D0003	2026-05-06	下午(14:00-18:0	14	8	正常
SCH2026050708000001	D0003	2026-05-07	上午(08:00-12:0	10	8	正常
SCH2026050714000001	D0003	2026-05-07	下午(14:00-18:0	11	5	正常
SCH2026050808000001	D0003	2026-05-08	上午(08:00-12:0	11	8	正常
SCH2026050814000001	D0003	2026-05-08	下午(14:00-18:0	22	9	正常
SCH2026050908000001	D0003	2026-05-09	上午(08:00-12:0	19	7	正常
SCH2026050914000001	D0003	2026-05-09	下午(14:00-18:0	19	10	正常
SCH2026051008000001	D0003	2026-05-10	上午(08:00-12:0	23	5	正常
SCH2026051014000001	D0003	2026-05-10	下午(14:00-18:0	11	6	正常
SCH2026051108000001	D0003	2026-05-11	上午(08:00-12:0	20	6	正常
SCH2026051114000001	D0003	2026-05-11	下午(14:00-18:0	24	10	正常
SCH2026050508000001	E0001	2026-05-05	上午(08:00-12:0	21	7	正常
SCH2026050514000001	E0001	2026-05-05	下午(14:00-18:0	15	9	正常
SCH2026050608000001	E0001	2026-05-06	上午(08:00-12:0	17	5	正常
SCH2026050614000001	E0001	2026-05-06	下午(14:00-18:0	20	8	正常
SCH2026050708000001	E0001	2026-05-07	上午(08:00-12:0	16	8	正常
SCH2026050714000001	E0001	2026-05-07	下午(14:00-18:0	13	7	正常
SCH2026050808000001	E0001	2026-05-08	上午(08:00-12:0	11	10	正常
SCH2026050814000001	E0001	2026-05-08	下午(14:00-18:0	23	9	正常
SCH2026050908000001	E0001	2026-05-09	上午(08:00-12:0	21	10	正常
SCH2026050914000001	E0001	2026-05-09	下午(14:00-18:0	22	10	正常
SCH2026051008000001	E0001	2026-05-10	上午(08:00-12:0	24	6	正常
SCH2026051014000001	E0001	2026-05-10	下午(14:00-18:0	25	6	正常
SCH2026051108000001	E0001	2026-05-11	上午(08:00-12:0	10	7	正常
SCH2026051114000001	E0001	2026-05-11	下午(14:00-18:0	20	6	正常
SCH2026050508000001	E0002	2026-05-05	上午(08:00-12:0	23	9	正常
SCH2026050514000001	E0002	2026-05-05	下午(14:00-18:0	16	9	正常
SCH2026050608000001	E0002	2026-05-06	上午(08:00-12:0	14	7	正常
SCH2026050614000001	E0002	2026-05-06	下午(14:00-18:0	25	7	正常
SCH2026050708000001	E0002	2026-05-07	上午(08:00-12:0	20	8	正常
SCH2026050714000001	E0002	2026-05-07	下午(14:00-18:0	14	10	正常
SCH2026050808000001	E0002	2026-05-08	上午(08:00-12:0	16	10	正常
SCH2026050814000001	E0002	2026-05-08	下午(14:00-18:0	25	10	正常
SCH2026050908000001	E0002	2026-05-09	上午(08:00-12:0	21	8	正常
SCH2026050914000001	E0002	2026-05-09	下午(14:00-18:0	10	6	正常
SCH2026051008000001	E0002	2026-05-10	上午(08:00-12:0	17	8	正常
SCH2026051014000001	E0002	2026-05-10	下午(14:00-18:0	16	10	正常
SCH2026051108000001	E0002	2026-05-11	上午(08:00-12:0	23	6	正常
SCH2026051114000001	E0002	2026-05-11	下午(14:00-18:0	23	5	正常
SCH2026050508000002	F0001	2026-05-05	上午(08:00-12:0	20	5	正常
SCH2026050514000002	F0001	2026-05-05	下午(14:00-18:0	11	8	正常
SCH2026050608000002	F0001	2026-05-06	上午(08:00-12:0	19	5	正常
SCH2026050614000002	F0001	2026-05-06	下午(14:00-18:0	14	6	正常
SCH2026050708000002	F0001	2026-05-07	上午(08:00-12:0	14	8	正常
SCH2026050714000002	F0001	2026-05-07	下午(14:00-18:0	16	7	正常
SCH2026050808000002	F0001	2026-05-08	上午(08:00-12:0	25	6	正常
SCH2026050814000002	F0001	2026-05-08	下午(14:00-18:0	12	5	正常
SCH2026050908000002	F0001	2026-05-09	上午(08:00-12:0	13	7	正常
SCH2026050914000002	F0001	2026-05-09	下午(14:00-18:0	11	8	停诊
SCH2026051008000002	F0001	2026-05-10	上午(08:00-12:0	23	6	正常
SCH2026051014000002	F0001	2026-05-10	下午(14:00-18:0	24	7	正常
SCH2026051108000002	F0001	2026-05-11	上午(08:00-12:0	24	5	正常
SCH2026051114000002	F0001	2026-05-11	下午(14:00-18:0	15	10	正常
SCH2026050508000002	F0002	2026-05-05	上午(08:00-12:0	16	9	正常
SCH2026050514000002	F0002	2026-05-05	下午(14:00-18:0	20	8	正常
SCH2026050608000002	F0002	2026-05-06	上午(08:00-12:0	19	8	正常
SCH2026050614000002	F0002	2026-05-06	下午(14:00-18:0	10	6	正常
SCH2026050708000002	F0002	2026-05-07	上午(08:00-12:0	22	7	正常
SCH2026050714000002	F0002	2026-05-07	下午(14:00-18:0	12	9	正常
SCH2026050808000002	F0002	2026-05-08	上午(08:00-12:0	11	8	正常
SCH2026050814000002	F0002	2026-05-08	下午(14:00-18:0	16	6	正常
SCH2026050908000002	F0002	2026-05-09	上午(08:00-12:0	24	5	正常
SCH2026050914000002	F0002	2026-05-09	下午(14:00-18:0	18	8	正常
SCH2026051008000002	F0002	2026-05-10	上午(08:00-12:0	14	6	正常
SCH2026051014000002	F0002	2026-05-10	下午(14:00-18:0	11	7	正常
SCH2026051108000002	F0002	2026-05-11	上午(08:00-12:0	15	6	正常
SCH2026051114000002	F0002	2026-05-11	下午(14:00-18:0	23	5	正常
SCH2026050508000002	F0003	2026-05-05	上午(08:00-12:0	20	9	正常
SCH2026050514000002	F0003	2026-05-05	下午(14:00-18:0	15	9	正常
SCH2026050608000002	F0003	2026-05-06	上午(08:00-12:0	17	9	正常
SCH2026050614000002	F0003	2026-05-06	下午(14:00-18:0	10	5	正常
SCH2026050708000002	F0003	2026-05-07	上午(08:00-12:0	20	8	正常
SCH2026050714000002	F0003	2026-05-07	下午(14:00-18:0	10	9	正常
SCH2026050808000002	F0003	2026-05-08	上午(08:00-12:0	14	8	正常
SCH2026050814000002	F0003	2026-05-08	下午(14:00-18:0	21	5	正常
SCH2026050908000002	F0003	2026-05-09	上午(08:00-12:0	17	7	正常
SCH2026050914000002	F0003	2026-05-09	下午(14:00-18:0	21	8	正常
SCH2026051008000002	F0003	2026-05-10	上午(08:00-12:0	10	5	正常
SCH2026051014000002	F0003	2026-05-10	下午(14:00-18:0	23	5	正常
SCH2026051108000002	F0003	2026-05-11	上午(08:00-12:0	14	10	正常
SCH2026051114000002	F0003	2026-05-11	下午(14:00-18:0	21	6	正常
SCH2026050508000002	F0004	2026-05-05	上午(08:00-12:0	11	10	正常
SCH2026050514000002	F0004	2026-05-05	下午(14:00-18:0	13	7	正常
SCH2026050608000002	F0004	2026-05-06	上午(08:00-12:0	25	6	正常
SCH2026050614000002	F0004	2026-05-06	下午(14:00-18:0	18	5	正常
SCH2026050708000002	F0004	2026-05-07	上午(08:00-12:0	22	6	正常
SCH2026050714000002	F0004	2026-05-07	下午(14:00-18:0	14	5	正常
SCH2026050808000002	F0004	2026-05-08	上午(08:00-12:0	22	6	正常
SCH2026050814000002	F0004	2026-05-08	下午(14:00-18:0	23	9	正常
SCH2026050908000002	F0004	2026-05-09	上午(08:00-12:0	23	7	正常
SCH2026050914000002	F0004	2026-05-09	下午(14:00-18:0	23	5	正常
SCH2026051008000002	F0004	2026-05-10	上午(08:00-12:0	10	5	正常
SCH2026051014000002	F0004	2026-05-10	下午(14:00-18:0	10	10	正常
SCH2026051108000002	F0004	2026-05-11	上午(08:00-12:0	10	7	正常
SCH2026051114000002	F0004	2026-05-11	下午(14:00-18:0	18	10	正常
SCH2026050508000002	G0001	2026-05-05	上午(08:00-12:0	22	5	正常
SCH2026050514000002	G0001	2026-05-05	下午(14:00-18:0	10	5	正常
SCH2026050608000002	G0001	2026-05-06	上午(08:00-12:0	15	8	正常
SCH2026050614000002	G0001	2026-05-06	下午(14:00-18:0	17	8	正常
SCH2026050708000002	G0001	2026-05-07	上午(08:00-12:0	14	9	正常
SCH2026050714000002	G0001	2026-05-07	下午(14:00-18:0	17	7	正常
SCH2026050808000002	G0001	2026-05-08	上午(08:00-12:0	21	7	正常
SCH2026050814000002	G0001	2026-05-08	下午(14:00-18:0	19	6	正常
SCH2026050908000002	G0001	2026-05-09	上午(08:00-12:0	16	7	正常
SCH2026050914000002	G0001	2026-05-09	下午(14:00-18:0	21	9	停诊
SCH2026051008000002	G0001	2026-05-10	上午(08:00-12:0	18	5	正常
SCH2026051014000002	G0001	2026-05-10	下午(14:00-18:0	25	7	正常
SCH2026051108000002	G0001	2026-05-11	上午(08:00-12:0	23	9	正常
SCH2026051114000002	G0001	2026-05-11	下午(14:00-18:0	14	9	正常
SCH2026050508000002	G0002	2026-05-05	上午(08:00-12:0	25	10	正常
SCH2026050514000002	G0002	2026-05-05	下午(14:00-18:0	23	6	正常
SCH2026050608000002	G0002	2026-05-06	上午(08:00-12:0	12	7	正常
